Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
Working,0,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,0
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Continuing Education,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,3,Education - Speech Communication Disorders,Female,Curry School of Education,1,1
Working,1,Public Policy,Female,School of Medicine,1,1
Working,0,Neuroscience,Male,School of Medicine,1,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Education - Kinesiology,Female,Curry School of Education,1,0
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Economics,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Working,2,Education - Higher Education,Female,Curry School of Education,1,1
Still Looking,1,Education - Administration & Supervision,Female,Curry School of Education,0,1
Working,0,Music,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,0
Still Looking,0,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,0
Continuing Education,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,0
Not Seeking,0,Spanish,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Education - Curriculum & Instruction,Female,Curry School of Education,1,0
Working,1,Education - Higher Education,Female,Curry School of Education,1,1
Still Looking,2,Education - Educational Psychology,Female,Curry School of Education,0,1
Continuing Education,0,Psychology,Male,College and Graduate School of Arts & Sciences,0,0
Continuing Education,1,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,0
Continuing Education,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,0
Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Military,0,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Data Science,Male,School of Data Science,1,1
Working,1,Education - Administration & Supervision,Male,Curry School of Education,1,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Working,3,Education - Clinical & School Psychology,Female,Curry School of Education,1,1
Working,2,Education - Clinical & School Psychology,Female,Curry School of Education,1,1
Working,0,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Engineering - Mechanical & Aerospace Engineering,Male,School of Engineering & Applied Science,1,0
Continuing Education,0,Education - Curriculum & Instruction,Female,Curry School of Education,0,0
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Working,0,Education - Reading Education,Female,Curry School of Education,1,0
Working,0,Education - Higher Education,Male,Curry School of Education,1,0
Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Quantative Analytics in Education & Social Science,Female,Curry School of Education,1,1
Still Looking,0,Education - Administration & Supervision,Female,Curry School of Education,0,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Education - Administration & Supervision,Female,Curry School of Education,1,0
Working,3,Education - Curriculum & Instruction,Female,Curry School of Education,1,1
Working,0,Education - Administration & Supervision,Female,Curry School of Education,1,0
Still Looking,1,Quantative Analytics in Education & Social Science,Female,Curry School of Education,0,1
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Working,0,Education - Educational Psychology,Female,Curry School of Education,1,0
Working,1,Education - Administration & Supervision,Female,Curry School of Education,1,1
Working,0,Biochemistry & Molecular Genetics,Female,School of Medicine,1,0
Working,1,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Education - Special Education,Female,Curry School of Education,1,0
Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Education - Administration & Supervision,Female,Curry School of Education,1,0
Working,0,Nursing,Male,School of Nursing,1,0
Working,3,Philosophy,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Statistics,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,3,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Not Seeking,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Sociology,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Neuroscience,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Interdisciplinary Studies,Male,School of Continuing and Professional Studies,1,0
Working,3,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,0,Interdisciplinary Studies,Male,School of Continuing and Professional Studies,1,0
Continuing Education,0,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Engineering Science,Female,School of Engineering & Applied Science,1,1
Working,3,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,English,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Biology,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Neuroscience,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,3,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Economics,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,0
Working,0,Psychology,Male,College and Graduate School of Arts & Sciences,1,0
Continuing Education,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,1,Spanish,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,1,Education - Kinesiology,Female,School of Education and Human Development,0,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,Interdisciplinary Studies,Female,School of Continuing and Professional Studies,0,0
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
